id,key,command,params,repo,branch
Update,pytorch-version,1.7.1,,1adrianb/face-alignment,a7be1fbcbf51fb988afcc42a777f96c3227434fc
Tree-Addition,workflow_dispatch,,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,max_retry_time,max_retry_time,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,max_retry_time,max_retry_time,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Delete,max_retry_time,30,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,on,push,pull_request,1adrianb/face-alignment,651e83d533d0d5670600c6bb036d3a86a6c81d46
Insert,on,push:branches:master,paths-ignore:**.md pull_request:branches:master paths-ignore:**.md,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,on,push:branches:master,paths-ignore:**.md pull_request:branches:master paths-ignore:**.md,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,on,pull_request_target:branches:master,,Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Update,max_retries,max_retries,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,max_retries,max_retries,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Delete,max_retries,5,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,jobs,echo $CONDA/bin >> $GITHUB_PATH\n name:Install dependencies ,strategy:matrix:python-version:3.7 pytorch-version:1.5.1 1.6.0 1.7.1 nightly steps:uses:actions/checkout@v2 name:Set up Python ${{ matrix.python-version }} uses:actions/setup-python@v2 with:python-version:${{ matrix.python-version }} name:Add conda to system path run:echo $CONDA/bin >> $GITHUB_PATH\n name:Install dependencies run:conda create -q -n test-environment python=${{ matrix.python-version }}\nsource activate test-environment\nif [[ \"${{ matrix.pytorch-version }}\" == \"nightly\" ]]; then\n  conda install pytorch cpuonly -c pytorch-nightly \nelse\n  conda install pytorch==${{ matrix.pytorch-version }} cpuonly -c pytorch\nfi\nconda install flake8\nif [ -f requirements.txt ]; then pip install -r requirements.txt; fi\npython setup.py install\n name:Test with pytest run:source activate test-environment\nconda install pytest\npytest test/\n name:Lint with flake8 run:source activate test-environment\nflake8 . --exit-zero,1adrianb/face-alignment,651e83d533d0d5670600c6bb036d3a86a6c81d46
Tree-Addition,jobs,check:name:Check,for broken links uses:ScholliYT/Broken-Links-Crawler-Action@v3 with:website_url:https://microsoft.github.io/SynapseML include_url_prefix:https://microsoft.github.io/SynapseML resolve_before_filtering:true verbose:true max_retry_time:30 max_retries:5 max_depth:-1,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,jobs,add_pr_comment:runs-on:ubuntu-latest,name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,jobs,add_pr_comment:runs-on:ubuntu-latest,name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Tree-Addition,subscription-id,${{,secrets.AZURE_SUBSCRIPTION_ID }},Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Tree-Addition,resolve_before_filtering,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,resolve_before_filtering,resolve_before_filtering,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,resolve_before_filtering,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,check,check,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,branches,master,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,branches,master,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,branches,master,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,steps,python -m pip install langchain==0.0.301\npython -m pip install pydantic==1.10.13\npython -m pip install gpt-review==v0.9.5\n,dependencies run:python -m pip install langchain==0.0.301\npython -m pip install pydantic==1.10.13\npython -m pip install gpt-review==v0.9.5\n,Azure/mmlspark,70dc523114768eea12ff0648c03fcfc3785f69de
Insert,steps,sudo apt-get update\nsudo apt-get install -y wget\n name:Scan for dead links ,code uses:actions/checkout@v2 name:Install dependencies run:sudo apt-get update\nsudo apt-get install -y wget\n name:Scan for dead links run:wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,name:Checkout,code uses:actions/checkout@v2,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,sudo apt-get update\nsudo apt-get install -y wget\n,dependencies run:sudo apt-get update\nsudo apt-get install -y wget\n,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,for dead links run:wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,id:review,uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,steps,id:review,uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,steps,id:review,uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,push,push,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,push,branches:master,paths-ignore:**.md,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,verbose,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,verbose,verbose,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,verbose,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,with,with,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Delete,with,website_url:https://microsoft.github.io/SynapseML,include_url_prefix:https://microsoft.github.io/SynapseML resolve_before_filtering:true verbose:true max_retry_time:30 max_retries:5 max_depth:-1,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,website_url,https://microsoft.github.io/SynapseML,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,website_url,website_url,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,website_url,https://microsoft.github.io/SynapseML,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,name,Test,Face alignmnet,1adrianb/face-alignment,651e83d533d0d5670600c6bb036d3a86a6c81d46
Update,name,Azure,Login,Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Update,name,Check,for broken links,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,name,Scan,for dead links,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,name,Scan,for dead links,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,name,Check,Dead Links,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,name,GPT,Review on Pull Request,Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Update,uses,azure/login,,Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Update,uses,azure/login,,Azure/mmlspark,ca747bb03518b3c9d361e5e474353a9c68004065
Update,uses,azure/CLI,,Azure/mmlspark,3b3a65f99c254b885f45d056b2ec7316bce6e324
Update,uses,github/codeql-action/init,,Azure/mmlspark,b390fd4f980d80566929db10ac85a66c3871ff89
Update,uses,github/codeql-action/autobuild,,Azure/mmlspark,b390fd4f980d80566929db10ac85a66c3871ff89
Update,uses,github/codeql-action/analyze,,Azure/mmlspark,b390fd4f980d80566929db10ac85a66c3871ff89
Update,uses,actions/setup-python,,Azure/mmlspark,b5b0962c333bc07c1d6e2eaca9ab6c4c2b9396e6
Update,uses,peter-evans/create-or-update-comment,,Azure/mmlspark,641fee0346db6f1beb9470c7b17347db38e1b4de
Update,uses,actions/upload-artifact,,Azure/mmlspark,e973d8f3a098f45cc1d29b9d463fac2026626fda
Update,uses,ossf/scorecard-action,,Azure/mmlspark,377df2f57d485f91bdef14139c658c14003c3576
Update,uses,ossf/scorecard-action,,Azure/mmlspark,b08b33d8433922c7f38f791f1279bdd5cf3717f7
Update,uses,actions/upload-artifact,,Azure/mmlspark,f7a0af54eec436c6dc3d4a534e8efcaa17370c29
Update,uses,microsoft/gpt-review,,Azure/mmlspark,3d1a7fc4c4a3e7177f4863c930e4595859bf5413
Update,uses,actions/checkout,,Azure/mmlspark,111823d168519c030bc42e4e83250211b7227b3e
Update,uses,actions/checkout,,Azure/mmlspark,0d8e613bc6e79f81795ab2b6f7cb9931cf66a864
Update,uses,uses,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,uses,ScholliYT/Broken-Links-Crawler-Action,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,uses,ossf/scorecard-action,,Azure/mmlspark,32da2270682b37fa44f378ecd60e47cee4745328
Update,uses,microsoft/gpt-review,,Azure/mmlspark,18e06ecd42d29d7e01eadcf72632f90b8e08a75c
Update,uses,microsoft/gpt-review,,Azure/mmlspark,14213e25147b99611ee56946933208f8d7520560
Update,uses,peter-evans/create-or-update-comment,,Azure/mmlspark,3fa001e129c914b7f315a015434a4bb4462d8836
Update,uses,ossf/scorecard-action,,Azure/mmlspark,7546e7fe9f4c14f396f3e99806df4b4e783105d7
action,key,label,,projectName,commitId
Update,python-version,PYTHON-VERSION,,1adrianb/face-alignment,a7be1fbcbf51fb988afcc42a777f96c3227434fc
Tree-Addition,include_url_prefix,https://microsoft.github.io/SynapseML,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,include_url_prefix,include_url_prefix,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,include_url_prefix,https://microsoft.github.io/SynapseML,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,max_depth,-1,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,max_depth,max_depth,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Delete,max_depth,-1,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,run,wget,--spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,add_pr_comment,runs-on:ubuntu-latest,name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,add_pr_comment,runs-on:ubuntu-latest,name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Update,creds,creds,,Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Update,creds,${{,secrets.clean_acr }},Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Tree-Addition,tenant-id,${{,secrets.AZURE_TENANT_ID }},Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Tree-Delete,paths-ignore,**.md,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Delete,paths-ignore,**.md,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,paths-ignore,**.md,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,paths-ignore,**.md,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Update,pytorch-version,1.5.1,,1adrianb/face-alignment,a7be1fbcbf51fb988afcc42a777f96c3227434fc
Update,pytorch-version,1.6.0,,1adrianb/face-alignment,a7be1fbcbf51fb988afcc42a777f96c3227434fc
Update,pytorch-version,1.7.1,,1adrianb/face-alignment,a7be1fbcbf51fb988afcc42a777f96c3227434fc
Tree-Addition,workflow_dispatch,,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,max_retry_time,max_retry_time,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,max_retry_time,max_retry_time,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Delete,max_retry_time,30,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,on,push,pull_request,1adrianb/face-alignment,651e83d533d0d5670600c6bb036d3a86a6c81d46
Insert,on,push:branches:master,paths-ignore:**.md pull_request:branches:master paths-ignore:**.md,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,on,push:branches:master,paths-ignore:**.md pull_request:branches:master paths-ignore:**.md,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,on,pull_request_target:branches:master,,Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Update,max_retries,max_retries,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,max_retries,max_retries,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Delete,max_retries,5,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,jobs,echo $CONDA/bin >> $GITHUB_PATH\n name:Install dependencies ,strategy:matrix:python-version:3.7 pytorch-version:1.5.1 1.6.0 1.7.1 nightly steps:uses:actions/checkout@v2 name:Set up Python ${{ matrix.python-version }} uses:actions/setup-python@v2 with:python-version:${{ matrix.python-version }} name:Add conda to system path run:echo $CONDA/bin >> $GITHUB_PATH\n name:Install dependencies run:conda create -q -n test-environment python=${{ matrix.python-version }}\nsource activate test-environment\nif [[ \"${{ matrix.pytorch-version }}\" == \"nightly\" ]]; then\n  conda install pytorch cpuonly -c pytorch-nightly \nelse\n  conda install pytorch==${{ matrix.pytorch-version }} cpuonly -c pytorch\nfi\nconda install flake8\nif [ -f requirements.txt ]; then pip install -r requirements.txt; fi\npython setup.py install\n name:Test with pytest run:source activate test-environment\nconda install pytest\npytest test/\n name:Lint with flake8 run:source activate test-environment\nflake8 . --exit-zero,1adrianb/face-alignment,651e83d533d0d5670600c6bb036d3a86a6c81d46
Tree-Addition,jobs,check:name:Check,for broken links uses:ScholliYT/Broken-Links-Crawler-Action@v3 with:website_url:https://microsoft.github.io/SynapseML include_url_prefix:https://microsoft.github.io/SynapseML resolve_before_filtering:true verbose:true max_retry_time:30 max_retries:5 max_depth:-1,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,jobs,add_pr_comment:runs-on:ubuntu-latest,name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,jobs,add_pr_comment:runs-on:ubuntu-latest,name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Tree-Addition,subscription-id,${{,secrets.AZURE_SUBSCRIPTION_ID }},Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Tree-Addition,resolve_before_filtering,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,resolve_before_filtering,resolve_before_filtering,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,resolve_before_filtering,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,check,check,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,branches,master,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,branches,master,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,branches,master,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,steps,python -m pip install langchain==0.0.301\npython -m pip install pydantic==1.10.13\npython -m pip install gpt-review==v0.9.5\n,dependencies run:python -m pip install langchain==0.0.301\npython -m pip install pydantic==1.10.13\npython -m pip install gpt-review==v0.9.5\n,Azure/mmlspark,70dc523114768eea12ff0648c03fcfc3785f69de
Insert,steps,sudo apt-get update\nsudo apt-get install -y wget\n name:Scan for dead links ,code uses:actions/checkout@v2 name:Install dependencies run:sudo apt-get update\nsudo apt-get install -y wget\n name:Scan for dead links run:wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,name:Checkout,code uses:actions/checkout@v2,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,sudo apt-get update\nsudo apt-get install -y wget\n,dependencies run:sudo apt-get update\nsudo apt-get install -y wget\n,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,for dead links run:wget --spider --recursive --no-verbose --tries=3 --retry-connrefused --no-clobber --directory-prefix=site-check https://microsoft.github.io/SynapseML/,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,steps,id:review,uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,steps,id:review,uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,steps,id:review,uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }},Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Insert,push,push,,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Insert,push,branches:master,paths-ignore:**.md,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,verbose,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,verbose,verbose,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,verbose,true,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,with,with,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Delete,with,website_url:https://microsoft.github.io/SynapseML,include_url_prefix:https://microsoft.github.io/SynapseML resolve_before_filtering:true verbose:true max_retry_time:30 max_retries:5 max_depth:-1,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,website_url,https://microsoft.github.io/SynapseML,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,website_url,website_url,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Update,website_url,https://microsoft.github.io/SynapseML,,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,name,Test,Face alignmnet,1adrianb/face-alignment,651e83d533d0d5670600c6bb036d3a86a6c81d46
Update,name,Azure,Login,Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Update,name,Check,for broken links,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,name,Scan,for dead links,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Insert,name,Scan,for dead links,Azure/mmlspark,1c4c5b388edfa9cdffbf2a91fcb893a82e02c561
Tree-Addition,name,Check,Dead Links,Azure/mmlspark,1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e
Tree-Addition,name,GPT,Review on Pull Request,Azure/mmlspark,6cec79b4ce542f444d9a22cfb5704c68cd52a3bc
Update,uses,azure/login,,Azure/mmlspark,93829b1708e3480b041e7fa2729bc7f1a0608675
Update,uses,azure/login,,Azure/mmlspark,ca747bb03518b3c9d361e5e474353a9c68004065
Update,uses,azure/CLI,,Azure/mmlspark,3b3a65f99c254b885f45d056b2ec7316bce6e324
Update,uses,github/codeql-action/init,,Azure/mmlspark,b390fd4f980d80566929db10ac85a66c3871ff89
Update,uses,github/codeql-action/autobuild,,Azure/mmlspark,b390fd4f980d80566929db10ac85a66c3871ff89
Update,uses,github/codeql-action/analyze,,Azure/mmlspark,b390fd4f980d80566929db10ac85a66c3871ff89
Update,uses,actions/setup-python,,Azure/mmlspark,b5b0962c333bc07c1d6e2eaca9ab6c4c2b9396e6
Update,uses,peter-evans/create-or-update-comment,,Azure/mmlspark,641fee0346db6f1beb9470c7b17347db38e1b4de
Update,uses,actions/upload-artifact,,Azure/mmlspark,e973d8f3a098f45cc1d29b9d463fac2026626fda
Update,uses,ossf/scorecard-action,,Azure/mmlspark,377df2f57d485f91bdef14139c658c14003c3576
Update,uses,ossf/scorecard-action,,Azure/mmlspark,b08b33d8433922c7f38f791f1279bdd5cf3717f7
